cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
29,1490,14,17,7.4,2.6,0.347,0.593,0.938,0.958,4,93,-0.028,Snap-200,1738,1342,411,222397,245424,105005,408133,829,227058,659,180339,246,67382,546311,203934,162114,134392506,3.0,2.0,0.721,3.949,2,2,2
30,2548,87,35,11.6,9.6,0.828,0.886,0.561,0.967,1111,99,-1.243,Snap-200,3077,1740,660,2297939,991380,434826,4301518,883,1490201,856,1444831,268,451406,755848,236644,229408,202567264,7.0,9.0,0.824,3.727,2,3,2
31,1725,135,44,15.5,11.1,0.715,0.877,0.699,0.981,325,106,1.078,Snap-200,1988,1368,451,2319864,1218309,461455,4524015,779,2042389,720,1886643,259,678893,560880,201761,186480,145267920,12.0,13.0,0.876,3.815,2,2,2
32,2050,113,40,12.5,11.5,0.925,0.91,0.38,0.978,1012,104,1.484,Snap-200,2568,1348,527,2795547,1041846,479868,4496735,928,2033084,837,1835076,282,616734,776736,261696,236034,219039552,5.0,5.0,1.443,3.606,2,3,3
33,1694,6,9,3.2,2.4,0.751,0.976,0.66,0.937,37,88,0.185,Snap-200,2369,1694,478,90006,199870,126139,199870,812,95761,555,65373,248,29207,450660,201376,137640,111763680,1.0,1.0,0.67,3.987,2,1,2
34,1505,166,50,17.9,11.9,0.666,0.847,0.746,0.983,1701,115,-1.134,Snap-200,1636,1286,462,2538455,1303075,528437,4856966,855,2758553,799,2577360,281,906288,683145,240255,224519,191963745,17.0,8.0,0.696,3.854,2,3,3
35,2028,116,40,12.5,11.9,0.953,0.934,0.302,0.985,785,130,1.124,Snap-200,2295,1622,545,2576233,1282727,500579,4579586,669,1508973,707,1595571,249,561986,472983,166581,176043,117772767,12.0,12.0,0.928,3.825,1,2,2
36,1758,135,44,15.5,11.1,0.719,0.874,0.695,0.978,1870,137,0.089,Snap-200,1883,1506,537,2198242,1159599,430674,4615380,792,2078580,795,2084578,254,664460,629640,201168,201930,159928560,16.0,14.0,0.696,3.834,2,2,2
37,1731,134,43,14.0,12.2,0.875,0.915,0.484,0.982,1780,138,0.889,Snap-200,1931,1418,521,2281346,1234281,458840,4503847,743,1930876,754,1961404,264,685580,560222,196152,199056,147898608,14.0,11.0,0.567,3.788,1,2,2
38,1811,3,6,1.9,1.8,0.926,1.089,0.379,0.93,57,119,-0.584,Snap-200,2346,1811,371,56291,95957,74160,95957,655,34675,432,22890,223,11807,282960,146065,96336,63100080,1.0,1.0,0.361,4.07,1,0,1
39,2108,115,40,12.8,11.4,0.889,0.885,0.458,0.978,927,145,-1.419,Snap-200,2283,1815,571,2506471,1393605,424856,4687887,736,1635448,719,1597634,264,585364,529184,194304,189816,139704576,11.0,6.0,1.984,3.85,1,2,2
40,2411,91,37,12.6,9.4,0.745,0.824,0.667,0.97,1422,142,-1.322,Snap-200,3026,1667,643,2438804,1091519,420882,4252405,845,1489962,840,1480980,277,487468,709800,234065,232680,196614600,8.0,7.0,0.773,3.673,2,3,3
41,2076,112,40,13.2,10.9,0.827,0.906,0.563,0.978,1232,152,0.211,Snap-200,2479,1536,567,2659735,1192842,449989,4531355,861,1877644,776,1693772,274,597915,668136,235914,212624,183069264,10.0,10.0,0.773,3.732,2,3,2
42,2368,92,37,13.8,8.5,0.617,0.856,0.787,0.98,1088,146,1.443,Snap-200,3106,1607,723,2416447,1138965,607130,4228975,952,1699168,881,1573180,278,496058,838712,264656,244918,233161936,7.0,3.0,0.464,3.574,3,3,3
43,3224,68,31,10.4,8.4,0.811,0.896,0.585,0.971,884,157,-0.463,Snap-200,4185,2175,721,2603049,1241768,443581,4281114,1038,1377259,805,1068542,300,398371,835590,311400,241500,250677000,5.0,5.0,1.907,3.704,3,3,3
44,1760,141,45,14.6,12.3,0.845,0.878,0.534,0.977,1467,163,-1.114,Snap-200,1881,1522,549,2500619,1242821,411667,4801912,751,2048143,825,2249458,277,755376,619575,208027,228525,171622275,10.0,9.0,0.721,3.768,1,3,3
45,2484,92,40,16.2,7.3,0.449,0.734,0.894,0.97,1189,177,-0.111,Snap-200,2853,2047,722,2424864,1565753,598914,4425742,1110,1976614,982,1749080,305,542747,1090020,338550,299510,332456100,10.0,3.0,0.773,3.793,3,4,3
46,2023,113,41,14.2,10.2,0.714,0.859,0.7,0.977,1628,172,1.13,Snap-200,2440,1478,489,2537069,1191204,461606,4435424,721,1579896,764,1673988,257,561307,550844,185297,196348,141566908,11.0,7.0,0.928,3.725,1,2,2
47,2582,83,34,10.9,9.8,0.901,0.884,0.434,0.976,1145,175,0.203,Snap-200,3286,1773,803,2611628,1180714,643050,4138861,1136,1820479,1000,1601578,301,481184,1136000,341936,301000,341936000,4.0,2.0,0.464,3.575,3,3,3
48,2556,81,34,11.5,9.0,0.783,0.879,0.622,0.968,1895,179,-0.72,Snap-200,3273,1645,675,2513530,907737,436888,3997702,875,1367679,811,1268141,266,415109,709625,232750,215726,188760250,5.0,1.0,0.67,3.536,2,3,2
49,3057,69,31,11.0,8.0,0.725,0.893,0.689,0.976,722,180,1.396,Snap-200,3945,2114,891,2457665,1246676,455067,4086895,1451,1938943,1070,1429515,372,496257,1552570,539772,398040,577556040,4.0,1.0,0.464,3.634,4,4,4
50,1717,33,25,9.8,4.6,0.464,0.649,0.886,0.974,7,185,-0.041,Snap-200,2202,1291,405,590063,387229,148917,1083376,667,420539,611,385359,241,151690,407537,160747,147251,98216417,3.0,2.0,2.01,3.75,1,1,2
