cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
98,2233,196,53,17.8,14.0,0.786,0.869,0.618,0.975,823,796,-1.3013503677168594,Snap-120,2709,1591,442,4925033,1695992,528789,8472851,707,2684365,696,2641735,223,847251,492072,157661,155208,109732056,13,16,1.185167,3.69,2,1,0
99,1636,142,49,19.1,9.5,0.498,0.75,0.867,0.976,1281,819,0.20785453977626123,Snap-120,1886,1293,580,2272188,1229366,627504,4514509,708,1955435,742,2046865,248,683988,525336,175584,184016,130283328,14,14,1.185167,3.824,2,1,1
100,1479,152,46,15.5,12.5,0.811,0.888,0.585,0.982,1058,810,-1.125248592995343,Snap-120,1611,1273,380,2295574,1181263,401852,4364851,664,1958822,684,2018672,224,660454,454176,148736,153216,101735424,13,15,1.3397540000000001,3.851,1,1,0
101,1763,156,47,17.2,11.6,0.674,0.871,0.739,0.983,262,815,1.1098130819391856,Snap-120,2024,1400,416,2938555,1337442,452587,5350944,564,1712647,618,1875706,203,617031,348552,114492,125454,70756056,12,13,0.9275220000000001,3.71,1,0,0
102,1782,121,44,16.9,9.3,0.546,0.791,0.837,0.975,559,816,1.4384345747618297,Snap-120,2083,1368,408,2344958,1172496,404751,4198295,653,1539609,589,1388197,222,522159,384617,144966,130758,85384974,11,10,1.2366960000000002,3.765,1,0,0
103,1898,113,43,17.6,8.2,0.464,0.753,0.886,0.977,1228,830,-0.6184132690225145,Snap-120,2167,1552,491,2349330,1399715,506501,4152281,702,1536505,725,1587388,232,508441,508950,162864,168200,118076400,6,5,3.1947980000000005,3.762,2,1,1
104,1714,127,41,13.1,12.4,0.945,0.93,0.326,0.986,1689,843,-0.5168920459168884,Snap-120,1954,1352,436,2145914,1124878,418926,4224044,830,2044396,1013,2495388,227,559301,840790,188410,229951,190859330,11,12,1.7262215,3.821,2,1,0
105,1650,131,43,13.8,12.2,0.882,0.903,0.471,0.979,670,858,-1.4266472875730631,Snap-120,1757,1460,416,2011612,1254056,415818,4206391,950,2421732,682,1740077,229,582908,647900,217550,156178,148369100,19,17,0.9790510000000001,3.921,2,1,0
106,1541,146,45,14.4,12.9,0.894,0.896,0.448,0.981,1746,872,0.352398698188568,Snap-120,1692,1287,426,2279150,1159420,443836,4359815,743,2101065,694,1962550,224,633243,515642,166432,155456,115503808,17,17,1.3397540000000001,3.88,2,1,0
107,1579,142,45,15.0,12.0,0.801,0.885,0.599,0.978,1256,877,-1.2551163525705602,Snap-120,1711,1341,538,2200397,1196353,555554,4342501,614,1688889,658,1810487,231,635085,404012,141834,151998,93326772,18,20,0.9532865000000001,3.852,1,1,0
108,1248,9,16,7.1,1.8,0.256,0.494,0.967,0.944,1932,866,-0.0018799793596956133,Snap-120,1302,1242,449,84635,180062,100628,229552,650,119641,604,111206,227,41855,392600,147550,137108,89120200,2,2,0.5925835,3.969,1,0,0
109,1825,121,42,13.6,11.6,0.851,0.868,0.525,0.975,140,886,-1.2847936478114284,Snap-120,2163,1375,422,2448315,1162898,412231,4276125,576,1349701,677,1585263,214,500541,389952,123264,144878,83449728,16,15,1.2366960000000002,3.804,1,1,0
