"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
34,2222,90,36,11.9,9.7,0.811,0.878,0.586,0.966,235,1188,1.160935893,"Snap-345",2629,1761,1263,2016822,1224237,1060811,3892330,2083,3649168,6817,11942904,5529,9686095,5,2,1.442812,3.59,4,4,4,"Day1","test"
36,2647,90,38,13.5,8.6,0.636,0.787,0.772,0.966,235,1236,-0.059284254,"Snap-345",2908,2349,1371,2448937,1733401,1197239,4600186,2631,4572556,5356,9308976,680,1181101,6,6,0.6956415,3.725,4,4,2,"Day1","test"
8,1872,123,45,17.4,9,0.52,0.776,0.854,0.975,1857,147,-0.561010196,"Snap-346",2215,1432,558,2379333,1302832,584778,4456655,1091,2596531,3889,9260723,1888,4495587,11,8,0.6956415,3.749,2,4,3,"Day1","test"
9,2471,37,23,7.7,6.1,0.792,0.865,0.61,0.966,1055,145,0.669981027,"Snap-346",2716,2315,1719,757823,1011441,1004063,1769264,4738,3392266,4507,3226944,2069,1481396,4,3,0.360703,3.668,4,4,3,"Day1","test"
40,1703,139,44,15,11.8,0.788,0.909,0.616,0.983,1801,1178,-1.439782065,"Snap-346",2214,1108,391,2795785,966150,391272,4594301,1034,2787962,6321,17047318,6122,16512074,4,3,5.359016,3.573,2,4,4,"Day1","test"
42,1487,167,49,16.6,12.8,0.77,0.89,0.638,0.982,1736,1298,0.663412135,"Snap-346",1749,1066,409,2503338,1045874,454694,4827278,826,2680600,6213,20172869,7082,22995935,9,7,3.400914,3.714,2,4,4,"Day1","test"
43,1526,157,48,18,11.2,0.62,0.855,0.784,0.982,1764,1376,0.120735456,"Snap-346",1843,1093,407,2741030,1039166,439508,4660622,844,2576142,5047,15414972,4877,14893497,9,7,0.875993,3.679,2,4,3,"Day1","test"
24,2727,78,35,12.5,8,0.638,0.825,0.77,0.971,308,1032,0.207899282,"Snap-347",2926,2461,882,2150863,1592547,692712,4147065,1809,2750872,14198,21594801,6971,10602726,8,8,1.3655185,3.824,3,5,4,"Day1","test"
21,1490,171,49,17.3,12.6,0.73,0.882,0.683,0.983,136,679,-0.488939169,"Snap-350",1762,1049,391,2907913,1059277,447801,4943096,615,2039727,4451,14762701,4872,16159063,8,9,1.03058,3.716,1,4,3,"Day1","test"
22,1483,166,52,20.4,10.4,0.51,0.761,0.86,0.973,143,761,0.341447153,"Snap-350",1672,1175,378,2517623,1219943,442107,4777406,590,1900447,5593,18020557,4771,15373720,14,16,0.927522,3.818,1,4,3,"Day1","test"
6,3222,136,43,13.3,13,0.979,0.912,0.204,0.98,954,647,0.233244296,"Snap-351",3774,2511,784,4619493,2171896,783630,8506201,1079,2849848,4703,12415894,1179,3113537,10,10,1.3655185,3.703,3,4,2,"Day1","test"
